label,split,rank,ignore_class,mIoU,present_mIoU,FWIoU,pixel_accuracy,parameters,macs,latency_ms
dense,val,dense,Void,0.342629091998618,0.36625868455024685,0.795448766902312,0.8813373963499208,134391648,71422771200,109.57565089000354
dense,val,dense,,0.330543022104986,0.35257922357865173,0.7713874706384556,0.8675765861742424,134391648,71422771200,109.57565089000354
dense,test,dense,Void,0.30124069025818506,0.3220159102759909,0.7664373572759958,0.8604488021615883,134391648,71422771200,109.57565089000354
dense,test,dense,,0.2973564849550517,0.3171802506187218,0.7414151757748751,0.8473994048785266,134391648,71422771200,109.57565089000354
cp_rank_256,val,256,Void,0.2500984709546244,0.2673466413652882,0.7491139506624154,0.8472965409910751,32814688,54662572800,120.90271870999459
cp_rank_256,val,256,,0.24160832491949727,0.2577155465807971,0.7240264852206888,0.8327303503787878,32814688,54662572800,120.90271870999459
cp_rank_256,test,256,Void,0.21971824376901783,0.2348712260979156,0.7152715792046911,0.8205687470278665,32814688,54662572800,120.90271870999459
cp_rank_256,test,256,,0.21602132318493067,0.2304227447305927,0.6846583932886003,0.8048868687548981,32814688,54662572800,120.90271870999459
cp_rank_128,val,128,Void,0.2709039160634347,0.28958694475746466,0.76605101642676,0.8623571953976444,32222944,54564935040,116.07091504999404
cp_rank_128,val,128,,0.2605112719384868,0.2778786900677192,0.7396260260849391,0.8460567589962121,32222944,54564935040,116.07091504999404
cp_rank_128,test,128,Void,0.25061797298217003,0.2679019711188714,0.7389656831420033,0.8410969804583438,32222944,54564935040,116.07091504999404
cp_rank_128,test,128,,0.24616743734689198,0.2625785998366848,0.7103904555653735,0.8243847758294148,32222944,54564935040,116.07091504999404
cp_rank_64,val,64,Void,0.27303125269981093,0.29186099426531514,0.7690178732985334,0.8636503667432723,31927072,54516116160,113.35146020000593
cp_rank_64,val,64,,0.2629405812680563,0.2804699533525934,0.7424945487101969,0.8477408262310606,31927072,54516116160,113.35146020000593
cp_rank_64,test,64,Void,0.25612069994430536,0.27378419649218844,0.7436806427864331,0.8435566853192273,31927072,54516116160,113.35146020000593
cp_rank_64,test,64,,0.25242311606804846,0.2692513238059184,0.7160070832823918,0.8285100635939132,31927072,54516116160,113.35146020000593
