iteration_budget,normalized_squared_frobenius_residual,plotted_iteration_budget,rank,seed,series
1,0.9672793097620376,0.982,1,0,cp_individual_seed
2,0.9462725194078212,1.964,1,0,cp_individual_seed
3,0.9447600097863972,2.9459999999999997,1,0,cp_individual_seed
4,0.9440355569780544,3.928,1,0,cp_individual_seed
1,0.9381399306827644,1.0,1,1,cp_individual_seed
2,0.9289251735102848,2.0,1,1,cp_individual_seed
3,0.9265764305868734,3.0,1,1,cp_individual_seed
4,0.9257780320348302,4.0,1,1,cp_individual_seed
1,0.9479870829169698,1.018,1,2,cp_individual_seed
2,0.9279829058198238,2.036,1,2,cp_individual_seed
3,0.9262864824732142,3.0540000000000003,1,2,cp_individual_seed
4,0.9259332587026082,4.072,1,2,cp_individual_seed
1,0.9511354411205906,1.0,1,,cp_mean
2,0.9343935329126433,2.0,1,,cp_mean
3,0.9325409742821616,3.0,1,,cp_mean
4,0.9319156159051643,4.0,1,,cp_mean
,0.7930345123102722,,1,,matrix_svd_reference
,0.7930345123102722,,1,,strongest_unfolding_bound
1,0.9330660215185184,0.982,2,0,cp_individual_seed
2,0.8774184788681569,1.964,2,0,cp_individual_seed
3,0.8735180271333334,2.9459999999999997,2,0,cp_individual_seed
4,0.8726011410804466,3.928,2,0,cp_individual_seed
1,0.8970403689607234,1.0,2,1,cp_individual_seed
2,0.875705186657582,2.0,2,1,cp_individual_seed
3,0.8669311480821073,3.0,2,1,cp_individual_seed
4,0.8626384213060966,4.0,2,1,cp_individual_seed
1,0.912950185345448,1.018,2,2,cp_individual_seed
2,0.8769489752551609,2.036,2,2,cp_individual_seed
3,0.87009342584106,3.0540000000000003,2,2,cp_individual_seed
4,0.8668524586009191,4.072,2,2,cp_individual_seed
1,0.9143521919415633,1.0,2,,cp_mean
2,0.8766908802602998,2.0,2,,cp_mean
3,0.8701808670188336,3.0,2,,cp_mean
4,0.8673640069958207,4.0,2,,cp_mean
,0.6154656161637045,,2,,matrix_svd_reference
,0.6154656161637045,,2,,strongest_unfolding_bound
1,0.8191905173235747,0.982,4,0,cp_individual_seed
2,0.7600258581754727,1.964,4,0,cp_individual_seed
3,0.7445127677967297,2.9459999999999997,4,0,cp_individual_seed
4,0.7338992280121573,3.928,4,0,cp_individual_seed
1,0.838288664676138,1.0,4,1,cp_individual_seed
2,0.7911119217114172,2.0,4,1,cp_individual_seed
3,0.7711648849221773,3.0,4,1,cp_individual_seed
4,0.7602118248258314,4.0,4,1,cp_individual_seed
1,0.7964445081160583,1.018,4,2,cp_individual_seed
2,0.7570166281624462,2.036,4,2,cp_individual_seed
3,0.7476739069360908,3.0540000000000003,4,2,cp_individual_seed
4,0.7382592267645931,4.072,4,2,cp_individual_seed
1,0.8179745633719238,1.0,4,,cp_mean
2,0.769384802683112,2.0,4,,cp_mean
3,0.7544505198849993,3.0,4,,cp_mean
4,0.7441234265341939,4.0,4,,cp_mean
,0.3438329612828853,,4,,matrix_svd_reference
,0.3438329612828853,,4,,strongest_unfolding_bound
