cumulative_energy,mode,mode_name,rank
0.2069654876897278,0,output channels,1
0.38453438383629546,0,output channels,2
0.5318405769098563,0,output channels,3
0.6561670387171147,0,output channels,4
0.7796510779184402,0,output channels,5
0.8725454434830539,0,output channels,6
0.9469862095013075,0,output channels,7
1.0,0,output channels,8
0.2793375767215566,1,input channels,1
0.4782103570296354,1,input channels,2
0.6262704872226887,1,input channels,3
0.7663893412738497,1,input channels,4
0.8852293838904938,1,input channels,5
1.0,1,input channels,6
0.3626773194629215,2,kernel height,1
0.711996057935907,2,kernel height,2
1.0,2,kernel height,3
0.4188090923462922,3,kernel width,1
0.7466401818091788,3,kernel width,2
1.0,3,kernel width,3
