method,rank,seed,status,failure_exception,dense_tensor_shape,parameter_count,parameter_ratio,compression_factor,max_unfolding_tail_bound_squared,output_mode_tail_bound_squared,actual_relative_squared_frobenius_error,actual_relative_frobenius_error,gap_above_max_bound,decomposition_runtime_seconds,decomposition_iterations,convergence_status,initializer,n_iter_max,bound_tolerance,bound_verification_passed,matrix_kernel_max_abs_difference,mode_tail_bounds_squared,mttkrp_implementation,mttkrp_rank_chunk_size,mttkrp_max_explicit_bytes,default_explicit_khatri_rao_peak_bytes_avoided,seed_status
matrix_svd_output_unfolding,1,,completed,,8x6x3x3,70,0.1590909090909091,6.285714285714286,0.7930345123102722,0.7930345123102722,0.7930345123102722,0.8905248521575758,,0.008593417005613446,1,exact_truncated_svd,deterministic_output_mode_svd,,1e-05,True,1.4901161193847656e-08,"{0: 0.7930345123102722, 1: 0.7206624232784433, 2: 0.6373226805370785, 3: 0.5811909076537078}",,,,,
matrix_svd_output_unfolding,2,,completed,,8x6x3x3,132,0.3,3.3333333333333335,0.6154656161637045,0.6154656161637045,0.6154656161637045,0.7845161669230944,,0.008593417005613446,1,exact_truncated_svd,deterministic_output_mode_svd,,1e-05,True,1.4901161193847656e-08,"{0: 0.6154656161637045, 1: 0.5217896429703646, 2: 0.28800394206409297, 3: 0.2533598181908212}",,,,,
matrix_svd_output_unfolding,4,,completed,,8x6x3x3,256,0.5818181818181818,1.71875,0.3438329612828853,0.3438329612828853,0.3438329612828853,0.5863727153294953,,0.008593417005613446,1,exact_truncated_svd,deterministic_output_mode_svd,,1e-05,True,1.955777406692505e-08,"{0: 0.3438329612828853, 1: 0.23361065872615028, 2: 0.0, 3: 0.0}",,,,,
cp,1,0,completed,,8x6x3x3,29,0.0659090909090909,15.172413793103448,0.7930345123102722,0.7930345123102722,0.9410695224224263,0.9700873787563811,0.14803501011215403,0.014035083004273474,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.7930345123102722, 1: 0.7206624232784433, 2: 0.6373226805370785, 3: 0.5811909076537078}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,576.0,"{'seed': 0, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
cp,1,1,completed,,8x6x3x3,29,0.0659090909090909,15.172413793103448,0.7930345123102722,0.7930345123102722,0.9250219155037175,0.9617805963439465,0.13198740319344526,0.0036001669941470027,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.7930345123102722, 1: 0.7206624232784433, 2: 0.6373226805370785, 3: 0.5811909076537078}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,576.0,"{'seed': 1, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
cp,1,2,completed,,8x6x3x3,29,0.0659090909090909,15.172413793103448,0.7930345123102722,0.7930345123102722,0.9219658561922797,0.9601905311927834,0.12893134388200744,0.0036110419896431267,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.7930345123102722, 1: 0.7206624232784433, 2: 0.6373226805370785, 3: 0.5811909076537078}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,576.0,"{'seed': 2, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
cp,2,0,completed,,8x6x3x3,50,0.11363636363636363,8.8,0.6154656161637045,0.6154656161637045,0.8709895690447453,0.9332682192407203,0.2555239528810408,0.003796999983023852,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.6154656161637045, 1: 0.5217896429703646, 2: 0.28800394206409297, 3: 0.2533598181908212}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,1152.0,"{'seed': 0, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
cp,2,1,completed,,8x6x3x3,50,0.11363636363636363,8.8,0.6154656161637045,0.6154656161637045,0.8478774136253948,0.9208025921039725,0.23241179746169027,0.0038699579890817404,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.6154656161637045, 1: 0.5217896429703646, 2: 0.28800394206409297, 3: 0.2533598181908212}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,1152.0,"{'seed': 1, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
cp,2,2,completed,,8x6x3x3,50,0.11363636363636363,8.8,0.6154656161637045,0.6154656161637045,0.84731798244732,0.9204987683029892,0.2318523662836155,0.003490583971142769,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.6154656161637045, 1: 0.5217896429703646, 2: 0.28800394206409297, 3: 0.2533598181908212}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,1152.0,"{'seed': 2, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
cp,4,0,completed,,8x6x3x3,92,0.20909090909090908,4.782608695652174,0.3438329612828853,0.3438329612828853,0.7024159401465343,0.8381025833073982,0.358582978863649,0.0034262079861946404,,completed_requested_budget_iteration_history_unavailable,random,10,1e-05,True,,"{0: 0.3438329612828853, 1: 0.23361065872615028, 2: 0.0, 3: 0.0}",smallnet_hybrid_memory_bounded_mttkrp,64.0,536870912.0,2304.0,"{'seed': 0, 'deterministic': True, 'torch_deterministic_algorithms': 'warn_only'}"
