class_index,class_name,excluded_from_evaluation,pixel_count,pixel_proportion,rgb,split
0,Animal,False,12045,4.722551565793436e-05,"64,128,64",train
1,Archway,False,119888,0.0004700516912576533,"192,0,128",train
2,Bicyclist,False,1206357,0.004729832411171334,"0,128,192",train
3,Bridge,False,108089,0.00042379068177255845,"0,128,64",train
4,Building,False,58191107,0.22815317847912275,"128,0,0",train
5,Car,False,7954394,0.031187244366656628,"64,0,128",train
6,CartLuggagePram,False,66140,0.0002593188547626217,"64,0,192",train
7,Child,False,79955,0.0003134841099568403,"192,128,64",train
8,Column_Pole,False,2641708,0.010357494605038643,"192,192,128",train
9,Fence,False,4264601,0.01672046337072167,"64,64,128",train
10,LaneMkgsDriv,False,4767634,0.018692733426176854,"128,0,192",train
11,LaneMkgsNonDriv,False,28591,0.00011209835767339155,"192,0,64",train
12,Misc_Text,False,1673702,0.006562178497942387,"128,128,64",train
13,MotorcycleScooter,False,14074,5.5180731205460205e-05,"192,0,192",train
14,OtherMoving,False,1196853,0.004692569538542608,"128,64,64",train
15,ParkingBlock,False,898329,0.0035221295355314665,"64,192,128",train
16,Pedestrian,False,1579269,0.006191929671032822,"64,64,0",train
17,Road,False,72804241,0.28544772298128074,"128,64,128",train
18,RoadShoulder,False,620615,0.0024332804815316673,"128,128,192",train
19,Sidewalk,False,17412640,0.06827072668874837,"0,0,192",train
20,SignSymbol,False,330974,0.0012976685611763524,"192,128,128",train
21,Sky,False,38573751,0.15123829654095153,"128,128,128",train
22,SUVPickupTruck,False,1349654,0.005291665098363946,"64,128,192",train
23,TrafficCone,False,9874,3.871355264478571e-05,"0,0,64",train
24,TrafficLight,False,925123,0.0036271822932349694,"0,64,64",train
25,Train,False,0,0.0,"192,64,128",train
26,Tree,False,25820691,0.10123664982309545,"128,128,0",train
27,Truck_Bus,False,476318,0.001867527037538894,"192,128,192",train
28,Tunnel,False,4,1.5683027200642376e-08,"64,0,64",train
29,VegetationMisc,False,2090713,0.008197177211934156,"192,192,0",train
30,Void,True,6693505,0.026243605245658937,"0,0,0",train
31,Wall,False,3141961,0.012318864956589381,"64,192,0",train
0,Animal,False,2292,3.3159722222222225e-05,"64,128,64",val
1,Archway,False,156904,0.002270023148148148,"192,0,128",val
2,Bicyclist,False,336051,0.004861848958333333,"0,128,192",val
3,Bridge,False,19639,0.0002841290509259259,"0,128,64",val
4,Building,False,15496688,0.22419976851851853,"128,0,0",val
5,Car,False,2498458,0.036146672453703704,"64,0,128",val
6,CartLuggagePram,False,26482,0.000383130787037037,"64,0,192",val
7,Child,False,14177,0.00020510706018518518,"192,128,64",val
8,Column_Pole,False,688926,0.009967100694444444,"192,192,128",val
9,Fence,False,877159,0.012690379050925927,"64,64,128",val
10,LaneMkgsDriv,False,1179841,0.017069458912037035,"128,0,192",val
11,LaneMkgsNonDriv,False,33768,0.0004885416666666666,"192,0,64",val
12,Misc_Text,False,415330,0.006008825231481481,"128,128,64",val
13,MotorcycleScooter,False,4346,6.28761574074074e-05,"192,0,192",val
14,OtherMoving,False,252953,0.0036596209490740743,"128,64,64",val
15,ParkingBlock,False,169067,0.002445992476851852,"64,192,128",val
16,Pedestrian,False,420746,0.006087181712962963,"64,64,0",val
17,Road,False,19889853,0.2877582899305556,"128,64,128",val
18,RoadShoulder,False,275909,0.003991739004629629,"128,128,192",val
19,Sidewalk,False,4131573,0.059773914930555554,"0,0,192",val
20,SignSymbol,False,76051,0.0011002748842592592,"192,128,128",val
21,Sky,False,10835168,0.1567587962962963,"128,128,128",val
22,SUVPickupTruck,False,512933,0.0074209056712962965,"64,128,192",val
23,TrafficCone,False,4303,6.225405092592593e-05,"0,0,64",val
24,TrafficLight,False,293754,0.004249913194444444,"0,64,64",val
25,Train,False,0,0.0,"192,64,128",val
26,Tree,False,7058225,0.10211552372685186,"128,128,0",val
27,Truck_Bus,False,293946,0.004252690972222222,"192,128,192",val
28,Tunnel,False,0,0.0,"64,0,64",val
29,VegetationMisc,False,651882,0.009431163194444444,"192,192,0",val
30,Void,True,1680355,0.024310691550925925,"0,0,0",val
31,Wall,False,823221,0.011910026041666667,"64,192,0",val
0,Animal,False,9227,5.7539860712005106e-05,"64,128,64",test
1,Archway,False,33968,0.00021182551085568326,"192,0,128",test
2,Bicyclist,False,1000137,0.006236885626197318,"0,128,192",test
3,Bridge,False,90470,0.000564173750798212,"0,128,64",test
4,Building,False,36615069,0.22833271596623564,"128,0,0",test
5,Car,False,6043741,0.03768895798411558,"64,0,128",test
6,CartLuggagePram,False,53306,0.00033241788393997444,"64,0,192",test
7,Child,False,42074,0.0002623747804916986,"192,128,64",test
8,Column_Pole,False,1452350,0.00905690004390166,"192,192,128",test
9,Fence,False,1779301,0.01109577671016922,"64,64,128",test
10,LaneMkgsDriv,False,2294790,0.014310382243773947,"128,0,192",test
