actual_relative_frobenius_error,actual_relative_squared_frobenius_error,full_model_macs,full_model_parameter_count,max_unfolding_tail_bound_squared,method,rank,seed,target_layer_macs,target_layer_parameter_count,target_layer_parameter_ratio,zero_shot_test_present_class_miou,zero_shot_validation_present_class_miou
0.9750766147634012,0.9507744046584543,54491706720,31779136,0.8222565439437998,cp,32,0,24409440,152032,0.0014794207620869703,0.19911805335308175,0.21907398409984827
0.9750212192646661,0.9506663780163561,54491706720,31779136,0.8222565439437998,cp,32,1,24409440,152032,0.0014794207620869703,0.1811862970689912,0.2066944301856123
0.9750702705951337,0.9507620325984674,54491706720,31779136,0.8222565439437998,cp,32,2,24409440,152032,0.0014794207620869703,0.19320850119654895,0.21197557126797903
0.9649177821610679,0.9310663263306342,54516116160,31927072,0.7818057507816906,cp,64,0,48818880,299968,0.0029189834190282596,0.23044079893278388,0.24728035134764031
0.9648262764068389,0.9308897436450859,54516116160,31927072,0.7818057507816906,cp,64,1,48818880,299968,0.0029189834190282596,0.22199542350368173,0.24781145805115767
0.9649950747452618,0.9312154942826134,54516116160,31927072,0.7818057507816906,cp,64,2,48818880,299968,0.0029189834190282596,0.21647418764375315,0.2403121507531691
0.9509073054309112,0.9042247035218761,54564935040,32222944,0.7323150301246241,cp,128,0,97637760,595840,0.005798108732910838,0.24547360558660775,0.2683217661254871
0.9507631840497448,0.903950632144409,54564935040,32222944,0.7323150301246241,cp,128,1,97637760,595840,0.005798108732910838,0.24604958346936578,0.2720229087867015
0.9508535039747094,0.9041223860209827,54564935040,32222944,0.7323150301246241,cp,128,2,97637760,595840,0.005798108732910838,0.24683489353861682,0.2703781475929472
0.929809587926232,0.8645458697995494,54662572800,32814688,0.6602391192025858,cp,256,0,195275520,1187584,0.011556359360675993,0.26544725693985693,0.29120066402898853
0.9297934589984768,0.8645158763963522,54662572800,32814688,0.6602391192025858,cp,256,1,195275520,1187584,0.011556359360675993,0.2639923801732524,0.2875381876504314
0.9297951935014005,0.8645191018583068,54662572800,32814688,0.6602391192025858,cp,256,2,195275520,1187584,0.011556359360675993,0.26321504213902247,0.2896819412982495
0.8987136742270401,0.8076862682426663,54857848320,33998176,0.5532109160047733,cp,512,0,390551040,2371072,0.023072860616206305,0.28185092753345975,0.3050120549754164
0.898800556561119,0.8078424404745772,54857848320,33998176,0.5532109160047733,cp,512,1,390551040,2371072,0.023072860616206305,0.28133978629625706,0.30440816754540384
0.8985678922398833,0.8074242569644265,54857848320,33998176,0.5532109160047733,cp,512,2,390551040,2371072,0.023072860616206305,0.2806542037488253,0.3030121811729353
0.0,0.0,71422771200,134391648,0.0,dense,,,16955473920,102764544,1.0,0.3220161576218945,0.36625851365124484
0.9067836257585377,0.8222565439437997,54621388800,32565088,0.8222565439437998,matrix_svd_output_unfolding,32,,154091520,937984,0.009127506078361035,0.29872018442056186,0.32489536564302113
0.8841978007107292,0.7818057507816903,54775480320,33498976,0.7818057507816906,matrix_svd_output_unfolding,64,,308183040,1871872,0.01821515405157639,0.30890460016159005,0.3347645671440521
0.8557540710534913,0.732315030124624,55083663360,35366752,0.7323150301246241,matrix_svd_output_unfolding,128,,616366080,3739648,0.03639044999800709,0.3167821406971841,0.34924185841200683
0.8125509948320694,0.6602391192025857,55700029440,39102304,0.6602391192025858,matrix_svd_output_unfolding,256,,1232732160,7475200,0.07274104189086851,0.3205239051556156,0.3555288702675278
0.7437814974875172,0.5532109160047736,56932761600,46573408,0.5532109160047733,matrix_svd_output_unfolding,512,,2465464320,14946304,0.14544222567659135,0.3219131545367167,0.3613618414783433
