iteration_budget,normalized_squared_frobenius_residual,plotted_iteration_budget,rank,seed,series
10,0.879682910902895,9.82,1,0,cp_individual_seed
25,0.8792661574116432,24.55,1,0,cp_individual_seed
50,0.8792658821660164,49.1,1,0,cp_individual_seed
100,0.8792658821660164,98.2,1,0,cp_individual_seed
200,0.8792658821660164,196.4,1,0,cp_individual_seed
400,0.8792658821660164,392.8,1,0,cp_individual_seed
10,0.8828524330353744,10.0,1,1,cp_individual_seed
25,0.8828516402909243,25.0,1,1,cp_individual_seed
50,0.8828516402909243,50.0,1,1,cp_individual_seed
100,0.8828516402909243,100.0,1,1,cp_individual_seed
200,0.8828516402909243,200.0,1,1,cp_individual_seed
400,0.8828516402909243,400.0,1,1,cp_individual_seed
10,0.8829124181774037,10.18,1,2,cp_individual_seed
25,0.882851609791038,25.45,1,2,cp_individual_seed
50,0.882851609791038,50.9,1,2,cp_individual_seed
100,0.882851609791038,101.8,1,2,cp_individual_seed
200,0.882851609791038,203.6,1,2,cp_individual_seed
400,0.882851609791038,407.2,1,2,cp_individual_seed
10,0.8818159207052244,10.0,1,,cp_mean
25,0.8816564691645352,25.0,1,,cp_mean
50,0.881656377415993,50.0,1,,cp_mean
100,0.881656377415993,100.0,1,,cp_mean
200,0.881656377415993,200.0,1,,cp_mean
400,0.881656377415993,400.0,1,,cp_mean
,0.6896988807618406,,1,,matrix_svd_reference
,0.7027104311977306,,1,,strongest_unfolding_bound
10,0.7928716062190805,9.82,2,0,cp_individual_seed
25,0.7759325379863008,24.55,2,0,cp_individual_seed
50,0.7562116998872727,49.1,2,0,cp_individual_seed
100,0.7562070373021662,98.2,2,0,cp_individual_seed
200,0.7562070373021662,196.4,2,0,cp_individual_seed
400,0.7562070373021662,392.8,2,0,cp_individual_seed
10,0.7737419279891163,10.0,2,1,cp_individual_seed
25,0.7735214579196058,25.0,2,1,cp_individual_seed
50,0.7734535929491606,50.0,2,1,cp_individual_seed
100,0.7734244438246474,100.0,2,1,cp_individual_seed
200,0.7734209287611836,200.0,2,1,cp_individual_seed
400,0.7734209287611836,400.0,2,1,cp_individual_seed
10,0.8054174747181742,10.18,2,2,cp_individual_seed
25,0.7875597508611182,25.45,2,2,cp_individual_seed
50,0.756309622793796,50.9,2,2,cp_individual_seed
100,0.7562066765711081,101.8,2,2,cp_individual_seed
200,0.7562066765711081,203.6,2,2,cp_individual_seed
400,0.7562066765711081,407.2,2,2,cp_individual_seed
10,0.790677002975457,10.0,2,,cp_mean
25,0.7790045822556749,25.0,2,,cp_mean
50,0.7619916385434098,50.0,2,,cp_mean
100,0.7619460525659738,100.0,2,,cp_mean
200,0.7619448808781527,200.0,2,,cp_mean
400,0.7619448808781527,400.0,2,,cp_mean
,0.4583768996789954,,2,,matrix_svd_reference
,0.4583768996789954,,2,,strongest_unfolding_bound
10,0.5907126038819221,9.82,4,0,cp_individual_seed
25,0.582353397755493,24.55,4,0,cp_individual_seed
50,0.5801208927656701,49.1,4,0,cp_individual_seed
100,0.5574853276506224,98.2,4,0,cp_individual_seed
200,0.5574411361998782,196.4,4,0,cp_individual_seed
400,0.5574411361998782,392.8,4,0,cp_individual_seed
10,0.6077677981189051,10.0,4,1,cp_individual_seed
25,0.6014153859274078,25.0,4,1,cp_individual_seed
50,0.5700073909179851,50.0,4,1,cp_individual_seed
100,0.5577520893584719,100.0,4,1,cp_individual_seed
200,0.5577260927155662,200.0,4,1,cp_individual_seed
400,0.5577260927155662,400.0,4,1,cp_individual_seed
10,0.5997234987499056,10.18,4,2,cp_individual_seed
25,0.5876946738875358,25.45,4,2,cp_individual_seed
50,0.5864077314442205,50.9,4,2,cp_individual_seed
100,0.5860141308335697,101.8,4,2,cp_individual_seed
200,0.5858539802141671,203.6,4,2,cp_individual_seed
400,0.5857914195554231,407.2,4,2,cp_individual_seed
10,0.5994013002502443,10.0,4,,cp_mean
25,0.5904878191901456,25.0,4,,cp_mean
50,0.5788453383759586,50.0,4,,cp_mean
100,0.567083849280888,100.0,4,,cp_mean
200,0.5670070697098705,200.0,4,,cp_mean
400,0.5669862161569559,400.0,4,,cp_mean
,0.1756800328196471,,4,,matrix_svd_reference
,0.1756800328196471,,4,,strongest_unfolding_bound
