iteration_budget,normalized_squared_frobenius_residual,plotted_iteration_budget,rank,seed,series
10,0.904224703521876,9.82,128,0,cp_individual_seed
25,0.8981955651879205,24.55,128,0,cp_individual_seed
50,0.8953977694609871,49.1,128,0,cp_individual_seed
100,0.8935068422514795,98.2,128,0,cp_individual_seed
200,0.8921022341392489,196.4,128,0,cp_individual_seed
400,0.8915565972162593,392.8,128,0,cp_individual_seed
10,0.903950632144409,10.0,128,1,cp_individual_seed
25,0.8982199804615785,25.0,128,1,cp_individual_seed
50,0.8953078357357626,50.0,128,1,cp_individual_seed
100,0.8933635000310084,100.0,128,1,cp_individual_seed
200,0.8920126318111915,200.0,128,1,cp_individual_seed
400,0.8911886478748385,400.0,128,1,cp_individual_seed
10,0.9041223860209828,10.18,128,2,cp_individual_seed
25,0.8980309917985028,25.45,128,2,cp_individual_seed
50,0.8950293939597594,50.9,128,2,cp_individual_seed
100,0.893085969709202,101.8,128,2,cp_individual_seed
200,0.8917837050803611,203.6,128,2,cp_individual_seed
400,0.8912714964487678,407.2,128,2,cp_individual_seed
10,0.9040992405624225,10.0,128,,cp_mean
25,0.8981488458160006,25.0,128,,cp_mean
50,0.8952449997188364,50.0,128,,cp_mean
100,0.8933187706638966,100.0,128,,cp_mean
200,0.8919661903436005,200.0,128,,cp_mean
400,0.891338913846622,400.0,128,,cp_mean
,0.7323150301246241,,128,,matrix_svd_reference
,0.7323150301246241,,128,,strongest_unfolding_bound
10,0.8645458697995494,9.82,256,0,cp_individual_seed
25,0.8552055489676701,24.55,256,0,cp_individual_seed
50,0.8506764005868628,49.1,256,0,cp_individual_seed
100,0.8477394131602087,98.2,256,0,cp_individual_seed
200,0.8459808526007354,196.4,256,0,cp_individual_seed
400,0.8447833811552857,392.8,256,0,cp_individual_seed
10,0.8645158763963522,10.0,256,1,cp_individual_seed
25,0.8552337770803958,25.0,256,1,cp_individual_seed
50,0.8507183299904916,50.0,256,1,cp_individual_seed
100,0.8478453180621952,100.0,256,1,cp_individual_seed
200,0.8460257744911104,200.0,256,1,cp_individual_seed
400,0.8448964469898811,400.0,256,1,cp_individual_seed
10,0.8645191018583068,10.18,256,2,cp_individual_seed
25,0.8552113151739182,25.45,256,2,cp_individual_seed
50,0.8508344424701584,50.9,256,2,cp_individual_seed
100,0.8479771828682,101.8,256,2,cp_individual_seed
200,0.8461499389128809,203.6,256,2,cp_individual_seed
400,0.8461499389128809,407.2,256,2,cp_individual_seed
10,0.8645269493514028,10.0,256,,cp_mean
25,0.855216880407328,25.0,256,,cp_mean
50,0.8507430576825042,50.0,256,,cp_mean
100,0.8478539713635347,100.0,256,,cp_mean
200,0.8460521886682422,200.0,256,,cp_mean
400,0.8452765890193493,400.0,256,,cp_mean
,0.6602391192025858,,256,,matrix_svd_reference
,0.6602391192025858,,256,,strongest_unfolding_bound
10,0.8076862682426663,9.82,512,0,cp_individual_seed
25,0.7940455573719367,24.55,512,0,cp_individual_seed
50,0.78756640187933,49.1,512,0,cp_individual_seed
100,0.7834494602984291,98.2,512,0,cp_individual_seed
200,0.7808755262581124,196.4,512,0,cp_individual_seed
400,0.7929556713348294,392.8,512,0,cp_individual_seed
10,0.8078424404745772,10.0,512,1,cp_individual_seed
25,0.7938870787426677,25.0,512,1,cp_individual_seed
50,0.7873709510434215,50.0,512,1,cp_individual_seed
100,0.7832617587310008,100.0,512,1,cp_individual_seed
200,0.7807256778165673,200.0,512,1,cp_individual_seed
400,0.8135931147537884,400.0,512,1,cp_individual_seed
10,0.8074242569644265,10.18,512,2,cp_individual_seed
25,0.7937751018438823,25.45,512,2,cp_individual_seed
50,0.7874872233614421,50.9,512,2,cp_individual_seed
100,0.7835194611707216,101.8,512,2,cp_individual_seed
200,0.7809378721246175,203.6,512,2,cp_individual_seed
400,0.7929117794652819,407.2,512,2,cp_individual_seed
10,0.8076509885605567,10.0,512,,cp_mean
25,0.7939025793194956,25.0,512,,cp_mean
50,0.7874748587613979,50.0,512,,cp_mean
100,0.7834102267333839,100.0,512,,cp_mean
200,0.780846358733099,200.0,512,,cp_mean
400,0.7998201885179665,400.0,512,,cp_mean
,0.5532109160047733,,512,,matrix_svd_reference
,0.5532109160047733,,512,,strongest_unfolding_bound
