method,rank,seed,series,target_layer_parameter_ratio,validation_present_class_miou
cp_200_iterations,32,0,cp_individual,0.0014794207620869,0.2223327370198432
cp_200_iterations,64,0,cp_individual,0.0029189834190282,0.2495081225833387
cp_200_iterations,128,0,cp_individual,0.0057981087329108,0.2771361686134829
cp_200_iterations,256,0,cp_individual,0.0115563593606759,0.293279494058297
cp_200_iterations,512,0,cp_individual,0.023072860616206305,0.310340763239341
cp_200_iterations,32,1,cp_individual,0.0014794207620869,0.2228876896501298
cp_200_iterations,64,1,cp_individual,0.0029189834190282,0.2478542729048383
cp_200_iterations,128,1,cp_individual,0.0057981087329108,0.2746294884602472
cp_200_iterations,256,1,cp_individual,0.0115563593606759,0.2946351514942932
cp_200_iterations,512,1,cp_individual,0.023072860616206305,0.30943564807139223
cp_200_iterations,32,2,cp_individual,0.0014794207620869,0.2166588943196188
cp_200_iterations,64,2,cp_individual,0.0029189834190282,0.2497119015430527
cp_200_iterations,128,2,cp_individual,0.0057981087329108,0.2721161740397749
cp_200_iterations,256,2,cp_individual,0.0115563593606759,0.2936602875502202
cp_200_iterations,512,2,cp_individual,0.023072860616206305,0.3080353341566966
cp_200_iterations,32,,cp_mean,0.0014794207620869,0.22062644032986392
cp_200_iterations,64,,cp_mean,0.0029189834190281997,0.24902476567707657
cp_200_iterations,128,,cp_mean,0.0057981087329108,0.274627277037835
cp_200_iterations,256,,cp_mean,0.0115563593606759,0.2938583110342701
cp_200_iterations,512,,cp_mean,0.023072860616206305,0.30927058182247663
dense,,,dense_reference,1.0,0.36625868455024685
