left_variable,right_variable,coefficient,value,observation_count,scope,inferential_test_performed
relative_squared_weight_error_mean,validation_present_class_miou_mean,pearson,-0.9450211032824917,5,descriptive_five_rank_mean_association,False
relative_squared_weight_error_mean,validation_present_class_miou_mean,spearman,-0.9999999999999999,5,descriptive_five_rank_mean_association,False
relative_squared_weight_error_mean,test_present_class_miou_mean,pearson,-0.9632246220839871,5,descriptive_five_rank_mean_association,False
relative_squared_weight_error_mean,test_present_class_miou_mean,spearman,-0.9999999999999999,5,descriptive_five_rank_mean_association,False
activation_normalized_squared_error_mean,validation_present_class_miou_mean,pearson,-0.9874109409109929,5,descriptive_five_rank_mean_association,False
activation_normalized_squared_error_mean,validation_present_class_miou_mean,spearman,-0.9999999999999999,5,descriptive_five_rank_mean_association,False
activation_normalized_squared_error_mean,test_present_class_miou_mean,pearson,-0.9951744416784952,5,descriptive_five_rank_mean_association,False
activation_normalized_squared_error_mean,test_present_class_miou_mean,spearman,-0.9999999999999999,5,descriptive_five_rank_mean_association,False
rank,validation_present_class_miou_mean,pearson,0.8831404649670073,5,descriptive_five_rank_mean_association,False
rank,validation_present_class_miou_mean,spearman,0.9999999999999999,5,descriptive_five_rank_mean_association,False
rank,test_present_class_miou_mean,pearson,0.9092961710647982,5,descriptive_five_rank_mean_association,False
rank,test_present_class_miou_mean,spearman,0.9999999999999999,5,descriptive_five_rank_mean_association,False
