layer,mode,matrix_shape,rank,energy,tail_energy
classifier.0.weight,0,4096x25088,32,0.177841575934933,0.822158424065067
classifier.0.weight,0,4096x25088,64,0.21830364950212666,0.7816963504978733
classifier.0.weight,0,4096x25088,128,0.2678233922177397,0.7321766077822602
classifier.0.weight,0,4096x25088,256,0.3399303240821839,0.6600696759178162
classifier.0.weight,0,4096x25088,512,0.4469571646276169,0.5530428353723831
classifier.0.weight,1,512x200704,32,0.1917155371023807,0.8082844628976193
classifier.0.weight,1,512x200704,64,0.29918666427935564,0.7008133357206443
classifier.0.weight,1,512x200704,128,0.4619628470764649,0.538037152923535
classifier.0.weight,1,512x200704,256,0.6996395664131865,0.3003604335868135
classifier.0.weight,1,512x200704,512,1.0,0.0
classifier.0.weight,2,7x14680064,32,1.0,0.0
classifier.0.weight,2,7x14680064,64,1.0,0.0
classifier.0.weight,2,7x14680064,128,1.0,0.0
classifier.0.weight,2,7x14680064,256,1.0,0.0
classifier.0.weight,2,7x14680064,512,1.0,0.0
classifier.0.weight,3,7x14680064,32,1.0,0.0
classifier.0.weight,3,7x14680064,64,1.0,0.0
classifier.0.weight,3,7x14680064,128,1.0,0.0
classifier.0.weight,3,7x14680064,256,1.0,0.0
classifier.0.weight,3,7x14680064,512,1.0,0.0
