method,rank,seed_count,reconstruction_squared_residual_mean,reconstruction_squared_residual_std_population,reconstruction_squared_residual_min,reconstruction_squared_residual_max,validation_present_class_miou_mean,validation_present_class_miou_std_population,test_present_class_miou_mean,test_present_class_miou_std_population,target_layer_parameter_count,target_layer_parameter_ratio,target_layer_compression_factor,max_unfolding_tail_bound_squared
dense,,1,0,0,0,0,0.3662585136512448,0,0.3220161576218945,0,102764544,1,1,0
cp,32,3,0.9507342717577592,0.000048273091596182445,0.950666378016356,0.9507744046584544,0.21258132851781317,0.005072050549377671,0.19117095053954059,0.007461040158401103,152032,0.0014794207620869,675.940223110924,0.8222565439437998
matrix_svd_output_unfolding,32,1,0.8222565439437997,0,0.8222565439437997,0.8222565439437997,0.3248953656430211,0,0.2987201844205618,0,937984,0.009127506078361,109.5589519650655,0.8222565439437998
cp,64,3,0.9310571880861112,0.00013314403252892476,0.930889743645086,0.9312154942826134,0.245134653383989,0.003416910622265751,0.22297013669340618,0.005743350188196617,299968,0.0029189834190282,342.5850224023896,0.7818057507816906
matrix_svd_output_unfolding,64,1,0.7818057507816903,0,0.7818057507816903,0.7818057507816903,0.3347645671440521,0,0.30890460016159,0,1871872,0.0182151540515763,54.89934354485777,0.7818057507816906
cp,128,3,0.9040992405624225,0.00011307980714416774,0.903950632144409,0.904224703521876,0.27024094083504524,0.0015140967649560993,0.24611936086486338,0.0005579294374519135,595840,0.0057981087329108,172.47003222341567,0.7323150301246241
matrix_svd_output_unfolding,128,1,0.732315030124624,0,0.732315030124624,0.732315030124624,0.3492418584120068,0,0.3167821406971841,0,3739648,0.036390449998007,27.47973713033954,0.7323150301246241
cp,256,3,0.8645269493514028,0.000013443422673214842,0.8645158763963522,0.8645458697995494,0.2894735976592231,0.001502439928874417,0.2642182264173772,0.000925184890983089,1187584,0.0115563593606759,86.5324423367105,0.6602391192025858
matrix_svd_output_unfolding,256,1,0.6602391192025857,0,0.6602391192025857,0.6602391192025857,0.3555288702675278,0,0.3205239051556156,0,7475200,0.0727410418908685,13.747397260273972,0.6602391192025858
cp,512,3,0.8076509885605567,0.00017253570455183883,0.8074242569644265,0.8078424404745772,0.30414413456458517,0.0008375196983484405,0.2812816391928474,0.0004902875132026116,2371072,0.0230728606162063,43.34096307492982,0.5532109160047733
matrix_svd_output_unfolding,512,1,0.5532109160047736,0,0.5532109160047736,0.5532109160047736,0.3613618414783433,0,0.3219131545367167,0,14946304,0.1454422256765913,6.875582351329132,0.5532109160047733
