method,rank,seed,split,status,present_class_miou,all_class_miou,pixel_accuracy,frequency_weighted_iou,target_layer_parameter_count,dense_target_layer_parameter_count,full_model_parameter_count,target_layer_macs,full_model_macs,actual_relative_squared_frobenius_error,actual_relative_frobenius_error,max_unfolding_tail_bound_squared,output_mode_tail_bound_squared,dataset_validation_report_reference,dataset_validation_report_sha256,checkpoint_sha256,model_kind
dense,,,test,completed,0.3220161576218945,0.3012409216462884,0.860449962587477,0.7664393233961115,102764544,102764544,134391648,16955473920,71422771200,0.0,0.0,0.0,0.0,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,dense
cp,32,0,test,completed,0.19911805335308175,0.18627172733030228,0.8255524322596702,0.7058275700560681,152032,102764544,31779136,24409440,54491706720,0.9507744046584543,0.9750766147634012,0.8222565439437998,0.8222565439437998,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,32,1,test,completed,0.1811862970689912,0.1694968585484111,0.8194067296488794,0.6943704179443854,152032,102764544,31779136,24409440,54491706720,0.9506663780163561,0.9750212192646661,0.8222565439437998,0.8222565439437998,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,32,2,test,completed,0.19320850119654895,0.18074343660322323,0.818746127898038,0.6960611362410651,152032,102764544,31779136,24409440,54491706720,0.9507620325984674,0.9750702705951337,0.8222565439437998,0.8222565439437998,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,64,0,test,completed,0.23044079893278388,0.21557365061453976,0.8385020517066907,0.7280184506340405,299968,102764544,31927072,48818880,54516116160,0.9310663263306342,0.9649177821610679,0.7818057507816906,0.7818057507816906,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,64,1,test,completed,0.22199542350368173,0.20767313811634744,0.8348842079360601,0.7235103016106122,299968,102764544,31927072,48818880,54516116160,0.9308897436450859,0.9648262764068389,0.7818057507816906,0.7818057507816906,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,64,2,test,completed,0.21647418764375315,0.20250811102157554,0.8346966280235953,0.7217720251207516,299968,102764544,31927072,48818880,54516116160,0.9312154942826134,0.9649950747452618,0.7818057507816906,0.7818057507816906,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,128,0,test,completed,0.24547360558660775,0.22963659877456855,0.8429356598512721,0.738333758260793,595840,102764544,32222944,97637760,54564935040,0.9042247035218761,0.9509073054309112,0.7323150301246241,0.7323150301246241,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,128,1,test,completed,0.24604958346936578,0.23017541679392284,0.8442746636812342,0.737806952808868,595840,102764544,32222944,97637760,54564935040,0.903950632144409,0.9507631840497448,0.7323150301246241,0.7323150301246241,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
cp,128,2,test,completed,0.24683489353861682,0.23091006169741574,0.8433705873954469,0.7384877800846696,595840,102764544,32222944,97637760,54564935040,0.9041223860209827,0.9508535039747094,0.7323150301246241,0.7323150301246241,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,cp_structural_zero_shot
